"city","year","weekofyear","ndvi_ne","ndvi_nw","ndvi_se","ndvi_sw","precipitation_amt_mm","reanalysis_air_temp_k","reanalysis_avg_temp_k","reanalysis_dew_point_temp_k","reanalysis_max_air_temp_k","reanalysis_min_air_temp_k","reanalysis_precip_amt_kg_per_m2","reanalysis_relative_humidity_percent","reanalysis_sat_precip_amt_mm","reanalysis_specific_humidity_g_per_kg","reanalysis_tdtr_k","station_avg_temp_c","station_diur_temp_rng_c","station_max_temp_c","station_min_temp_c","station_precip_mm","total_cases"
"sj",1990,18,0.1226,0.103725,0.1984833,0.1776167,19.32,297.5728571,297.7428571,292.4142857,299.8,295.9,32,74.25571429,12.42,14.01285714,2.628571429,298.4428571,279.9,302.4,293,19.8,"4"
"sj",1990,19,0.1699,0.13325,0.1623571,0.1554857,22.82,298.2114286,298.4428571,293.9514286,300.9,296.4,17.94,77.36857143,22.82,15.37285714,3.014285714,299.7142857,280.6,304.7,295.2,8.6,"5"
"sj",1990,20,-0.02665,0.1729667,0.1572,0.1708429,32.72,298.7814286,298.8785714,295.4342857,300.5,297.3,26.1,82.05285714,34.54,16.84857143,2.3,299.7142857,279.4857143,305.2,295.8,41.4,"4"
"sj",1990,21,0.1286333,0.2450667,0.2275571,0.2358857,15.36,298.9871429,299.2285714,295.31,301.4,297,13.9,80.33714286,15.36,16.67285714,2.428571429,300.4714286,279.7714286,306.3,296.3,38.1,"3"
"sj",1990,22,0.1962,0.2622,0.2512,0.24734,7.52,299.5185714,299.6642857,295.9357143,301.9,297.6,12.2,80.46,7.52,17.21,3.014285714,303.0714286,282.3714286,308.7,296.9,5.8,"6"
"sj",1990,23,0.1194,0.17485,0.2543143,0.1817429,9.58,299.63,299.7642857,295.8514286,302.4,298.1,26.49,79.89142857,9.58,17.21285714,2.1,301.1142857,279.9428571,307.4,296.9,10.7,"2"
"sj",1990,24,0.1035,0.0928,0.2050714,0.2102714,3.48,299.2071429,299.2214286,295.8657143,301.3,297.7,38.6,82,3.48,17.23428571,2.085714286,300.4142857,279.7714286,305.2,296.3,29.7,"4"
"sj",1990,25,0.0725,0.0725,0.1514714,0.1317,151.12,299.5914286,299.5285714,296.5314286,300.6,298.4,30,83.37571429,151,17.97714286,1.571428571,301.3714286,280.6857143,306.9,295.8,21.1,"5"
"sj",1990,26,0.10245,0.2609,0.1255714,0.1236,19.32,299.5785714,299.5571429,296.3785714,302.1,297.7,37.51,82.76857143,13.82,17.79,1.885714286,301.3285714,280.3857143,306.9,295.8,21.1,"10"
"sj",1990,27,0.1972,0.12155,0.1606833,0.2025667,14.41,300.1542857,300.2785714,296.6514286,302.3,298.7,28.4,81.28142857,14.41,18.07142857,2.014285714,301.3285714,279.5142857,306.9,297.4,1.1,"6"
"sj",1990,28,0.192875,0.1421167,0.1919429,0.1529286,22.27,299.5128571,299.5928571,296.0414286,301.8,298,22.37,81.46714286,19.92,17.41857143,2.442857143,300.5571429,280.1571429,304.7,294.7,63.7,"4"
"sj",1990,29,0.2916,0.2118,0.3012,0.2806667,59.17,299.6671429,299.75,296.3342857,302.6,297.3,40.9,82.14428571,59.17,17.73714286,3.2,301.1285714,279.9,305.8,296.9,12.2,"2"
"sj",1990,30,0.1505667,0.1631571,0.2269,0.2145571,16.48,299.5585714,299.6785714,295.96,300.9,297.1,65.2,80.74285714,16.48,17.34142857,2.071428571,301.1142857,279.3571429,304.7,295.8,32.6,"6"
"sj",1990,31,0.2510143,0.24715,0.3797,0.3813571,32.66,299.8628571,299.95,296.1728571,302.1,298.3,34.6,80.58428571,32.66,17.59428571,2.585714286,301.2428571,281.0857143,307.4,295.8,37.6,"17"
"sj",1990,32,0.0214,0.06433333,0.1644429,0.1388571,28.8,300.3914286,300.7142857,296.5328571,302.5,298.8,12.47,79.65,28.8,17.99571429,2.328571429,301.2,280.5571429,306.3,296.3,11.4,"23"
"sj",1990,33,0.0614,0.1280333,0.2069571,0.1682429,90.75,299.9585714,299.9571429,297.0357143,302.3,298.5,101.9,84.17857143,90.75,18.51571429,1.857142857,301.0428571,279.6857143,305.8,295.8,44.7,"13"
"sj",1990,34,0.1902333,0.1688,0.1676571,0.1872143,32.4,300.3328571,300.4142857,296.8014286,302.5,298.4,25.9,81.48285714,32.4,18.17428571,2.485714286,301.3428571,280.0142857,306.3,296.3,5.4,"21"
"sj",1990,35,0.2529,0.33075,0.2641714,0.2843143,40.94,300.1185714,300.2214286,297.0171429,302.2,298.7,22.2,83.34857143,40.94,18.51571429,1.9,301.6571429,278.8571429,305.2,297.4,13.7,"28"
"sj",1990,36,0.2212714,0.200025,0.2838167,0.2304429,28.86,300.53,300.6357143,296.1171429,303.8,298,30.4,77.17285714,28.86,17.56,3.471428571,301.3285714,280.6142857,305.8,296.3,14.2,"24"
"sj",1990,37,0.1279667,0.4371,0.1234,0.1482833,64.11,300.6742857,300.7928571,297.2871429,302.9,299,24.18,81.55142857,64.56,18.77714286,2.9,301.6857143,281.0571429,306.9,297.4,25.9,"10"
"sj",1990,38,0.19635,0.1824333,0.2548286,0.3056857,143.73,299.8571429,299.9,296.4314286,301.7,298.7,36.6,81.63714286,143.73,17.89285714,1.742857143,301.2428571,281.1142857,305.8,296.9,3.3,"40"
"sj",1990,39,0.1161,0.2609,0.1994429,0.2442167,51.39,300.4271429,300.6,296.0285714,302.4,299.1,16.4,77.04857143,55.11,17.46857143,2.257142857,301.8571429,280.7285714,305.8,297.4,15.8,"27"
"sj",1990,40,0.22855,0.18975,0.2124857,0.2011857,31.18,300.7757143,300.85,296.6642857,303.3,299.1,36.1,78.52,31.18,18.18,2.9,301.7714286,281.0285714,306.3,296.9,11.7,"42"
"sj",1990,41,0.17115,0.06755,0.1794667,0.1577167,51.42,299.8571429,299.9428571,296.9285714,301.8,298.1,132.4,84.11,51.42,18.54714286,2.571428571,301.6285714,280.3142857,306.3,297.4,57.7,"33"
"sj",1990,42,0.1288333,0.0702,0.1816167,0.16575,143.55,299.2328571,299.3071429,296.5442857,301.5,297.5,279.6,85.62142857,143.55,18.11571429,1.871428571,300.6285714,279.6142857,305.8,296.3,61.8,"43"
